ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
63630000,1.79,2245,1.167,785,1.368
225500000,0.932,1388,1.434,1002,1.541
949900000,0.9056,1393,1.322,8372,1.918
14700,1.406,1047,1.67,1813,0.8164
128900,1.175,1298,1.72,531.5,0.7935
8344,1.853,998.5,1.819,16080,0.5183
101900,1.757,1353,1.655,765600,1.577
255000,1.341,1197,1.635,1.496e+09,1.061
369800000,0.9312,2263,1.079,5812000,1.124
585500000,0.5235,1845,1.161,1934,1.019
7079000,1.096,1329,1.572,426.9,0.6044
2.657e+09,1.051,1498,1.503,7465,0.5297
509200000,0.8243,1384,1.574,1070,0.5063
5420,1.645,1789,1.474,727.7,0.5126
36570,1.286,1133,1.673,1473,0.6709
187100,1.558,2872,1.007,10990,0.5402
97630000,1.977,3744,0.9916,269400,0.8612
4392000,1.344,1164,1.928,655.5,1.186
5423000,0.7691,806.7,1.945,171700,1.995
7361000,1.362,932.9,1.872,1824,1
12350,1.955,1538,1.441,20680000,1.428
9.886e+09,1.063,3267,1.01,88280,1.276
79910000,1.456,3110,0.924,1266,1.72
237700000,1.241,2886,1.262,1207,0.6479
11130000,1.045,1087,1.646,1664,1.003
243200000,1.133,1069,1.722,1020000,1.866
1745000,1.353,1124,1.735,52650,0.7566
977200000,0.785,1014,1.724,417.9,0.6932
235600,1.286,1025,1.728,770.7,0.8794
606800,1.254,1182,1.664,32570000,0.8196
2.46e+09,1.703,2063,1.219,6895,0.5164
19870,1.568,1485,1.459,862.5,0.5109
2997000,1.078,1022,1.992,5053,0.7013
442900000,1.006,1056,1.972,684.7,0.692
208600,1.717,862.7,2,120.4,0.5353
111100000,0.5614,873.2,1.802,241.4,0.5425
42970000,0.6721,1151,1.594,871.7,0.7111
47730000,1.031,3703,0.9357,529.4,0.8036
56950000,0.6794,3645,0.9707,347.2,0.6567
455200,1.574,1903,1.296,2360,0.7651
8436,1.97,1990,1.122,127800,1.502
416300000,1.892,2139,1.194,2631,1.768
309600000,1.821,1146,1.498,1023,1.381
7.795e+09,1.849,1042,1.803,1483,1.189
42510,1.258,1545,1.302,131800000,0.7495
70850000,1.675,1362,1.607,732400000,0.5445
5.149e+09,1.149,1089,1.62,6.548e+09,1.031
25840000,1.592,1420,1.431,3.527e+09,0.7688
47720,1.828,1166,1.816,3254000,1.084
439400,0.9738,907,1.984,1441,0.9892
312200,1.99,955.2,1.942,693.4,0.6278
1508000,0.93,946.2,1.873,581.5,0.6283
510500,1.562,1084,1.841,485,0.5909
1009000,1.754,2070,1.401,485,0.5909
451800000,0.9707,2630,1.101,830.5,0.5032
846300,1.889,1936,1.168,830.5,0.5032
2106000,0.7836,1259,1.53,1064,0.6093
63130000,0.8741,1136,1.613,548.7,0.5427
75040000,1.625,1899,1.344,282.4,0.6043
228000,1.72,1310,1.511,129000,0.566
5.7e+07,1.567,3115,0.906,844100,0.522
342500,1.29,1571,1.326,603100000,1.066
4137,1.999,1358,1.47,340000,1.605
429500000,1.124,4080,0.9041,648800,1.444
62990,1.329,4209,0.8431,139.4,0.5389
4543,1.597,1944,1.296,445.2,0.5327
1.349e+09,1.651,2076,1.448,371.5,0.5686
14210000,0.7385,3571,1.029,690,0.5354
6496000,0.732,990.4,1.654,472.7,0.6789
2888000,0.7609,1085,1.655,569,0.5159
40850000,1.721,906.9,1.864,574.1,0.5016
6904,1.925,1166,1.578,585.4,0.5946
100400,1.444,1156,1.647,337200,0.9778
7.781e+09,0.6617,1063,1.817,851.3,0.8987
2674000,1.027,1022,1.937,531.7,1.633
3531,1.72,932.6,1.788,369.3,0.5456
369900000,0.8417,1607,1.198,1276,0.625
24610000,1.52,2125,1.513,702.3,0.5019
82770,1.561,1895,1.438,327,0.5344
6489000,0.8865,2406,1.09,581,0.5458
113800000,0.7892,11620,0.7324,1.816e+09,0.9981
208100000,1.526,13840,0.6477,618200,0.9307
7078000,1.841,2195,1.344,62070,0.5245
554200,1.791,1391,1.71,16350,0.941
439400,0.8066,857.3,1.928,507.1,0.6122
1.206e+09,0.6232,1002,1.72,397.9,0.6136
44290000,0.8496,1475,1.308,160.2,0.6386
97890000,0.9839,1043,1.962,314.4,0.5059
4.11e+08,1.935,1123,1.905,1325,0.502
349900000,1.802,1277,1.589,2372,0.5342
116800,1.837,1329,1.484,818,0.5113
1.733e+09,0.9261,4459,0.9346,1027,0.5014
6215,1.937,1205,1.54,1192,0.5385
2757,1.878,956.7,1.73,1662,0.5559
264300,1.679,1146,1.641,705.5,0.538
634300000,0.5605,2320,1.242,671,0.5457
897600000,0.8657,891.5,1.895,601.3,0.5896
1654000,1.062,2930,0.9577,982600,1.091
76730000,0.6944,864.2,1.986,507.6,0.5103
178100000,1.961,1426,1.531,1411,0.5518
75020000,1.921,1377,1.531,19480000,1.582
2.249e+09,0.6093,821.9,1.993,40790000,1.935
1547000,1.657,3569,1.034,280600000,1.897
14920000,0.7931,1233,1.694,832.5,0.5441
25910000,1.644,1013,1.906,2208,0.7163
78980,1.593,1046,1.801,336.4,0.5179
1541000,1.167,2324,1.223,1043,0.7735
3.616e+09,1.172,929.6,1.635,458.9,0.5287
212100000,0.5397,1103,1.853,458.9,0.5287
47420000,1.247,1198,1.843,2135,0.5809
5640000,1.581,1059,1.845,601.8,0.5284
11640000,0.6862,1335,1.83,1429,0.5055
5244000,0.5187,1158,1.725,485.5,0.5176
185500,1.519,1156,1.762,485.5,0.5176
207500,1.573,898.3,1.944,485.5,0.5176
683600,1.526,1259,1.589,439.2,0.5316
20250000,1.094,1900,1.195,1657,0.554
1730000,1.474,1062,1.838,703.6,0.517
639800000,1.691,1052,1.875,729.9,0.5023
16820000,0.9461,1017,1.695,352.3,0.5244
1.418e+09,1.837,1933,1.319,598.2,0.6117
19930000,1.676,2767,1.1,317.4,0.5614
1184000,1.478,940.6,1.756,784.3,0.5009
1.15e+08,1.803,1047,1.876,784.3,0.5009
1.67e+08,1.579,835.6,1.86,4807000,0.6611
8.259e+09,1.138,811.9,1.901,281300000,0.7721
174600,1.436,2558,1.339,24740000,1.6
7.459e+09,1.028,2642,1.203,561,0.8706
43390000,1.606,1178,1.709,366500000,1.896
1.527e+09,1.636,2015,1.085,261,0.6571
479400000,1.758,3198,0.9436,1200,1.199
1786000,0.663,3347,0.9333,132900,1.452
374400,1.372,1584,1.393,34680,0.5345
29300000,1.936,973.8,1.943,4382,0.6701
330100000,1.642,1166,1.679,858.3,0.5012
5906000,1.812,1327,1.592,514.8,0.5458
2.986e+09,1.984,1370,1.593,840.4,0.5173
11320,1.247,1074,1.862,1811,0.5136
171000,1.026,1239,1.668,751.1,0.5176
6292,1.757,3503,0.86,2282,0.5121
19890000,0.6068,2893,0.9954,147.6,0.522
829300,1.624,2840,0.9679,10140,0.51
649000,1.913,1333,1.735,1123,0.5818
142100,1.936,2457,1.281,13100,1.603
1041000,0.8901,911.7,1.868,365.7,1.94
7248,1.56,1095,1.813,396.7,1.47
23380,1.553,1547,1.547,2438,0.8673
83600000,1.543,895.8,1.921,590.1,0.5592
7.82e+09,1.649,1081,1.718,3246,0.5563
963800000,1.196,1403,1.384,1661,0.5052
30650000,0.8069,4191,0.9231,365.6,0.7528
13510000,1.264,3353,1.012,288.4,0.6429
1441000,0.7108,2585,1.176,254.8,0.5197
342300,1.361,1323,1.501,1333,0.6349
298500000,1.551,2403,1.035,343.8,0.6133
16050000,1.893,1835,1.29,1725,0.5182
52880,1.306,1269,1.492,214.5,0.502
1.4e+07,0.5876,1399,1.321,869.6,0.5232
1281000,0.7362,985.7,1.761,34710,1.203
531700000,1.799,1016,1.954,2.848e+09,0.9998
122700000,1.293,1053,1.927,10080000,0.5482
2880000,1.024,1925,1.337,12280000,0.8769
37380000,0.8344,1309,1.552,3411,0.6276
11020000,0.9302,995.6,1.892,25010000,1.595
4601000,1.119,1981,1.206,1962,0.9462
200400,1.098,2247,1.118,604.6,0.6439
17200000,1.618,1355,1.321,498.4,0.5114
2950,1.651,1586,1.418,783.4,0.6095
417900000,1.869,1550,1.45,1765,0.5428
2220000,1.686,1018,1.968,9943000,0.5882
9304000,1.777,951.9,1.907,6.839e+09,1.175
3822000,1.527,941.7,1.89,8380,0.7263
1165000,0.9392,880.3,1.945,1640,0.5088
3.313e+09,1.844,892,1.855,834.4,0.5084
173200000,1.345,1278,1.68,834.4,0.5084
