ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
973500000,4.51,330200,0.7836,2.4e+07,0.3797,NA,NA,NA,NA,211400,0.2436,9.263,0.718
26400000,4.696,175100,8.562,2.4e+07,0.3797,NA,NA,NA,NA,11480,0.3911,12.81,0.5694
4.231e+09,2.267,62320,0.522,2.4e+07,0.3797,NA,NA,NA,NA,16010000,0.1652,8.623,0.5677
593200,5.184,430.7,1.848,4835,3.979,NA,NA,NA,NA,732400,0.202,10.09,0.7048
200600,4.255,245,3.894,2586,2.074,NA,NA,NA,NA,5705,0.4728,11.58,0.6024
7.607e+09,0.4183,490.6,6.501,1.064e+09,0.2669,NA,NA,NA,NA,4591,0.4238,9.906,0.6205
252300,1.051,248.3,3.923,6.416e+09,0.4145,NA,NA,NA,NA,109100,0.2871,10.53,0.6382
759.3,6.002,248.3,3.923,1.371e+09,0.2624,NA,NA,NA,NA,4237,0.401,12.86,0.5854
1001,4.164,1558,1.003,7.62e+08,0.3195,NA,NA,NA,NA,51760,0.3006,10.09,0.6788
349100,7.848,3551,0.6917,7.62e+08,0.3195,NA,NA,NA,NA,18050,0.3924,12.18,0.5689
52730,3.164,34940,0.7141,7.62e+08,0.3195,NA,NA,NA,NA,1.295e+09,0.1315,9.324,0.5351
853.3,6.116,234.2,8.096,227500000,0.2873,NA,NA,NA,NA,99790000,0.1439,8.92,0.5103
8.501e+09,0.3935,53640000,2.365,227500000,0.2873,NA,NA,NA,NA,15830000,0.1693,10.41,0.5475
1286000,0.7698,35090,2.912,103500000,0.2773,NA,NA,NA,NA,9795,0.3438,10.74,0.726
40010000,8.507,289300000,3.996,103500000,0.2773,NA,NA,NA,NA,123400,0.2759,14.91,0.498
1.662e+09,7.992,1795000,8.098,103500000,0.2773,NA,NA,NA,NA,23560,0.3779,14.15,0.7161
18990000,3.4,1.366e+09,7.49,103500000,0.2773,NA,NA,NA,NA,227100,0.2351,10.04,0.578
38430000,0.4199,21570,0.6974,292100000,0.2885,NA,NA,NA,NA,62680,0.2792,11.06,0.6925
22490,1.589,142400,4.323,2.457e+09,0.2225,NA,NA,NA,NA,53480,0.2559,14.44,0.6066
