drug,conc,units,channel,block
quinidine,100,nM,hERG,18.0306355391417
quinidine,100,nM,hERG,8.0592039434867
quinidine,300,nM,hERG,26.1601494071489
quinidine,300,nM,hERG,19.5675950522995
quinidine,300,nM,hERG,23.332162506428
quinidine,300,nM,hERG,32.8574785337645
ondansetron,300,nM,hERG,14.5443829642309
ondansetron,300,nM,hERG,18.5450179569243
ondansetron,300,nM,hERG,17.7852756898885
ondansetron,300,nM,hERG,19.183926504431
ondansetron,300,nM,hERG,17.069191298757
ondansetron,300,nM,hERG,25.0101444893543
ondansetron,300,nM,hERG,26.5382074867154
ondansetron,10000,nM,hERG,89.6545568844151
ondansetron,10000,nM,hERG,86.4706024467126
ondansetron,10000,nM,hERG,88.6549408795835
ondansetron,10000,nM,hERG,87.7400776860443
ondansetron,10000,nM,hERG,86.7591755357388
ondansetron,10000,nM,hERG,83.8584333918798
ondansetron,1000,nM,hERG,45.3256863029166
ondansetron,1000,nM,hERG,50.1347637818241
ondansetron,1000,nM,hERG,36.6351410004416
ondansetron,1000,nM,hERG,46.6580540588252
ondansetron,1000,nM,hERG,45.6667735396565
ondansetron,3000,nM,hERG,61.1352496429582
ondansetron,3000,nM,hERG,65.4074493485515
ondansetron,3000,nM,hERG,71.4307722033934
ondansetron,3000,nM,hERG,65.2558340960536
ondansetron,3000,nM,hERG,70.280285530942
ondansetron,3000,nM,hERG,67.2688393841257
diltiazem,1e+05,nM,hERG,87.1368871674651
diltiazem,1e+05,nM,hERG,86.6681015633541
diltiazem,1e+05,nM,hERG,86.1774942380627
diltiazem,1e+05,nM,hERG,88.0869791708852
diltiazem,10000,nM,hERG,43.3478631461406
diltiazem,10000,nM,hERG,44.0730968981357
diltiazem,10000,nM,hERG,39.7430022027987
diltiazem,10000,nM,hERG,40.4152588766934
diltiazem,10000,nM,hERG,44.8083307698443
diltiazem,10000,nM,hERG,41.8856515132229
diltiazem,30000,nM,hERG,69.5327655826057
diltiazem,30000,nM,hERG,65.5240247846927
diltiazem,30000,nM,hERG,70.9048714563551
diltiazem,30000,nM,hERG,69.099046000329
diltiazem,3000,nM,hERG,21.1121679935047
diltiazem,3000,nM,hERG,28.4445643621984
diltiazem,3000,nM,hERG,20.6376407093023
diltiazem,3000,nM,hERG,20.8171373258701
diltiazem,3000,nM,hERG,19.2281938402444
chlorpromazine,1000,nM,hERG,45.595962928186
chlorpromazine,1000,nM,hERG,46.9126950790677
chlorpromazine,1000,nM,hERG,50.2149961061551
chlorpromazine,1000,nM,hERG,44.1116576628973
chlorpromazine,1000,nM,hERG,45.5006049012418
chlorpromazine,1000,nM,hERG,41.897045438078
chlorpromazine,100,nM,hERG,21.3785790152861
chlorpromazine,100,nM,hERG,10.339791386755
chlorpromazine,100,nM,hERG,18.2571655075659
chlorpromazine,100,nM,hERG,14.2031157801417
chlorpromazine,100,nM,hERG,12.6810594770088
chlorpromazine,100,nM,hERG,16.7071718776783
chlorpromazine,3000,nM,hERG,82.6394726880877
chlorpromazine,3000,nM,hERG,73.0421970302543
chlorpromazine,3000,nM,hERG,75.8397777994529
chlorpromazine,3000,nM,hERG,77.8835420159201
chlorpromazine,300,nM,hERG,32.4883176933101
chlorpromazine,300,nM,hERG,36.6554200084243
chlorpromazine,300,nM,hERG,24.3577640513933
chlorpromazine,300,nM,hERG,22.076989074287
chlorpromazine,300,nM,hERG,26.2031797162816
