INa_IC50,INa_h,INaL_IC50,INaL_h
2.537e+09,1.777,25570,0.5618
2.541e+09,1.981,40680,0.556
2.412e+09,2,23830,0.5661
2.279e+09,1.99,36910,0.6232
2.46e+09,1.828,28590,0.5817
2.445e+09,1.823,33090,0.574
2.316e+09,1.929,39550,0.5671
2.314e+09,1.937,28700,0.5409
2.404e+09,1.984,29520,0.5623
2.421e+09,1.985,30260,0.5511
2.389e+09,1.956,39370,0.5155
2.369e+09,1.858,40620,0.5233
2.334e+09,1.689,32300,0.5854
2.26e+09,1.835,40930,0.5454
2.588e+09,1.81,34910,0.5978
2.572e+09,1.856,42360,0.5179
2.748e+09,1.762,35570,0.5182
2.385e+09,1.967,46520,0.5904
2.327e+09,1.83,31220,0.5688
2.278e+09,1.99,36550,0.5641
2.252e+09,1.959,34010,0.6718
2.271e+09,1.964,24150,0.5274
2.436e+09,1.921,37130,0.7397
2.734e+09,1.909,46540,0.7211
2.442e+09,1.889,25240,0.5752
2.491e+09,1.519,34090,0.6382
2.259e+09,1.904,41420,0.6341
2.599e+09,1.997,55630,0.5272
2.335e+09,1.907,49290,0.5573
2.346e+09,1.989,53980,0.5309
2.204e+09,1.985,54590,0.6042
2.251e+09,1.989,31140,0.6752
2.41e+09,1.97,32670,0.6331
2.51e+09,2,39130,0.9018
2.346e+09,1.995,39770,0.7864
2.407e+09,1.968,70430,0.7214
2.562e+09,1.7,49500,0.57
2.333e+09,1.962,48360,0.5417
2.477e+09,1.914,36680,0.502
2.511e+09,1.815,29470,0.6146
2.692e+09,1.839,42820,0.5978
2.293e+09,1.896,36820,0.5266
2.223e+09,1.957,43070,0.5084
2.595e+09,1.92,31310,0.5457
2.766e+09,1.886,35740,0.6526
2.654e+09,1.814,31880,0.6058
2.546e+09,1.79,28200,0.6192
2.445e+09,1.988,39550,0.5615
2.52e+09,1.972,37510,0.5168
2.502e+09,1.986,38680,0.5372
2.592e+09,1.83,33530,0.5327
2.257e+09,1.997,27380,0.5455
2.253e+09,1.946,57210,0.557
2.481e+09,1.997,53050,0.5588
2.655e+09,1.503,38410,0.602
2.635e+09,1.949,51680,0.5236
2.472e+09,1.99,40560,0.5114
2.085e+09,1.992,40000,0.5673
2.411e+09,1.951,33110,0.5082
2.536e+09,1.862,28530,0.5908
2.295e+09,1.992,35510,0.5607
2.287e+09,1.989,30880,0.5525
2.743e+09,1.906,31360,0.5642
2.605e+09,1.803,42340,0.5028
2.924e+09,1.514,34180,0.7065
2.632e+09,1.843,34950,0.7494
2.615e+09,1.917,37730,0.7455
2.39e+09,1.982,95170,0.5244
2.298e+09,1.975,97340,0.5302
2.67e+09,1.965,79520,0.5414
2.664e+09,1.851,81840,0.5076
3.207e+09,1.809,48170,0.5519
2.482e+09,1.954,31640,0.5254
2.701e+09,1.97,31190,0.5127
2.892e+09,1.834,37360,0.5053
2.506e+09,1.75,45580,0.5348
2.255e+09,1.933,22380,0.5139
2.15e+09,1.779,31450,0.5001
2.204e+09,2,33160,0.5
2.34e+09,1.869,34080,0.5332
2.797e+09,1.553,36920,0.502
2.46e+09,1.862,40020,0.5799
2.187e+09,1.961,38540,0.5825
2.355e+09,1.95,47550,0.6854
2.183e+09,1.966,63520,0.5632
2.7e+09,1.995,44930,0.5423
2.192e+09,1.881,29660,0.5931
2.56e+09,1.986,47070,0.5573
2.964e+09,1.898,38250,0.5582
2.298e+09,1.954,40290,0.6133
2.651e+09,1.787,41240,0.5501
2.193e+09,1.934,33960,0.5192
2.526e+09,1.924,42890,0.6025
2.486e+09,1.788,31190,0.6822
2.86e+09,1.815,28750,0.6598
2.784e+09,1.754,33000,0.5032
2.486e+09,1.988,44560,0.5184
2.521e+09,1.976,30250,0.6237
2.386e+09,1.855,24870,0.5039
2.68e+09,1.93,35200,0.5181
2.352e+09,1.868,35870,0.6188
2.576e+09,1.891,45320,0.5546
2.473e+09,1.982,38920,0.504
2.292e+09,1.967,43130,0.5227
2.123e+09,1.821,36230,0.6025
2.713e+09,1.701,26530,0.6372
2.514e+09,1.935,26630,0.6323
2.302e+09,1.948,45080,0.5755
2.618e+09,1.968,48130,0.7325
2.436e+09,1.993,26220,0.5997
